Name,Date,Type,Primary Muscle,Sets,Reps,Weight (lbs),Notes
Leg Curls,7/28/2023,Legs,Hamstrings,4,10,10,nm
Leg press,7/28/2023,Legs,Quads,4,6,250,
Dumbell Lunges,7/28/2023,Legs,Hamstrings,4,10,80,
Leg Raises,7/30/2023,Core,Abs,4,10,bodyweight,
Back Raises,7/30/2023,Core,Lower Back,4,10,35,
Incline Situps,7/30/2023,Core,Abs,4,10,35,
Cable Twists,7/30/2023,Core,Abs,4,10,40,
Back Pushes,7/30/2023,Core,Lower Back,4,10,11,nm
Ab Crunches,7/30/2023,Core,Abs,4,10,11,nm
bench press,7/31/2023,Push,Chest,4,6,135,
incline bench press,7/31/2023,Push,Chest,4,6,115,
flys,7/31/2023,Push,Delts,4,8,100,
lat raises,7/31/2023,Push,Shoulders,4,10,80,
tricep pushes,7/31/2023,Push,Triceps,4,6,85,
shoulder press,7/31/2023,Push,Shoulders,4,8,100,
dips,7/31/2023,Push,Chest,4,8,140,
Pull Ups,8/1/2023,Pull,Lats,4,10,10,
Dumbell Rows,8/1/2023,Pull,Lats,4,10,50,
Preacher Curls,8/1/2023,Pull,Biceps,4,8,80,
Reverse Flys,8/1/2023,Pull,Delts,4,6,100,
Bench press,8/8/2023,Push,Chest,4,8,135,
Incline Bench Press,8/8/2023,Push,Chest,4,8,115,
Tricep Push Downs,8/8/2023,Push,Triceps,4,8,40,
Flys,8/8/2023,Push,Delts,4,8,100,
Dips,8/8/2023,Push,Chest,4,10,140,
Shoulder press,8/8/2023,Push,Shoulders,4,8,90,
Lat Raises,8/8/2023,Push,Shoulders,4,8,85,
Pull Ups,8/9/2023,Pull,Lats,4,10,bodyweight,
Lat Pull Downs,8/9/2023,Pull,Lats,4,8,100,
Incline Rows,8/9/2023,Pull,Lats,4,8,160,
Underhand Rows,8/9/2023,Pull,Lats,4,8,115,
Reverse Flys,8/9/2023,Pull,Delts,4,8,100,
Preacher Curls,8/9/2023,Pull,Biceps,4,8,80,
Incline Hammerhead Curls,8/9/2023,Pull,Biceps,4,8,22.5,
Squats,8/10/2023,Legs,Quads,4,6,205,
Hip Abductions,8/10/2023,Legs,Hip Abductors,4,10,9,nm
Calf Raises,8/10/2023,Legs,Calfs,4,12,12,nm
Dumbell Lunges,8/10/2023,Legs,Hamstrings,4,8,75,
Leg press,8/10/2023,Legs,Quads,4,6,270,
Leg Extensions,8/10/2023,Legs,Quads,4,8,100,
Leg Raises,8/13/2023,Core,Abs,4,10,bodyweight,
Back Raises,8/13/2023,Core,Lower Back,4,10,35,
Incline Situps,8/13/2023,Core,Abs,4,10,35,
Cable twists,8/13/2023,Core,Abs,4,10,40,
Back pushes,8/13/2023,Core,Lower Back,4,10,12,nm
Ab Crunches,8/13/2023,Core,Abs,4,10,12,nm
Bench Press,8/15/2023,Push,Chest,4,8,135,
decline Bench press,8/15/2023,Push,Chest,4,8,115,
Tricep Push Downs,8/15/2023,Push,Triceps,4,8,40,
Lat Raises,8/15/2023,Push,Shoulders,4,10,80,
Shoulder press,8/15/2023,Push,Shoulders,4,6,105,
Dips,8/15/2023,Push,Chest,4,10,140,
Pull Ups,8/16/2023,Pull,Lats,4,10,110,
Dumbell Rows,8/16/2023,Pull,Lats,4,10,50,
Incline Rows,8/16/2023,Pull,Lats,4,8,160,
Underhand Rows,8/16/2023,Pull,Lats,4,8,130,
Incline Hammerhead Curls,8/16/2023,Pull,Biceps,4,8,25,
Reverse Flys,8/16/2023,Pull,Delts,4,10,100,
Preacher Curls,8/16/2023,Pull,Biceps,4,8,80,
Bench press,8/23/2023,Push,Chest,4,4,155,
Incline Bench press,8/23/2023,Push,Chest,4,8,115,
Tricep Push Downs,8/23/2023,Push,Triceps,4,8,40,
Flys,8/23/2023,Push,Delts,4,8,100,
Dips,8/23/2023,Push,Chest,4,10,140,
Squats,8/26/2023,Legs,Quads,4,4,225,
Sissy Squats,8/26/2023,Legs,Quads,4,6,bodyweight,
Leg Curls,8/26/2023,Legs,Hamstrings,4,6,130,
Calf Raises,8/26/2023,Legs,Calfs,4,12,250,
Pull Ups,8/28/2023,Pull,Lats,4,10,110,
Dumbell Rows,8/28/2023,Pull,Lats,4,10,50,
Reverse Flys,8/28/2023,Pull,Delts,4,8,115,
Dumbell Curls,8/28/2023,Pull,Biceps,4,8,30,
Leg Raises,9/2/2023,Core,Abs,4,10,bodyweight,
Back Raises,9/2/2023,Core,Lower Back,4,10,35,
Incline Situps,9/2/2023,Core,Abs,4,10,35,
Cable Twists,9/2/2023,Core,Abs,4,10,40,
Back Pushes,9/2/2023,Core,Lower Back,4,10,12,nm
Tricep Push Downs,9/2/2023,Push,Triceps,4,10,50,
Ab Crunches,9/2/2023,Core,Abs,2,10,90,
Pull Ups,9/3/2023,Pull,Lats,2,10,110,
Bench press,9/3/2023,Push,Chest,4,6,155,
Dips,9/3/2023,Push,Chest,4,10,140,
Lat Raises,9/3/2023,Push,Shoulders,4,10,80,
Incline Bench press,9/3/2023,Push,Chest,4,4,115,
Overhead Tricep Raises,9/3/2023,Push,Triceps,4,7,80,
Squats,9/4/2023,Legs,Quads,4,6,225,
Leg Extensions,9/4/2023,Legs,Quads,3,12,80,
Hip Abductions,9/4/2023,Legs,Hip Abductors,4,10,10,nm
Leg Curls,9/4/2023,Legs,Hamstrings,4,10,8,nm
Calf Raises,9/4/2023,Legs,Calfs,3,15,200,
Pull Ups,9/7/2023,Pull,Lats,4,8,bodyweight,
Dumbell Rows,9/7/2023,Pull,Lats,4,10,50,
Incline Hammerhead Curls,9/7/2023,Pull,Biceps,1,4,30,
Dumbell Curls,9/7/2023,Pull,Biceps,3,8,30,
Underhand Rows,9/7/2023,Pull,Lats,3,10,130,
Reverse Flys,9/7/2023,Pull,Delts,3,10,100,
Bench Press,9/10/2023,Push,Chest,4,6,155,
Overhead Tricep Raises,9/10/2023,Push,Triceps,4,8,100,
Flys,9/10/2023,Push,Delts,4,10,125,
Incline Bench press,9/10/2023,Push,Chest,4,6,115,
Tricep Push Downs,9/10/2023,Push,Triceps,4,6,100,
Leg Raises,9/11/2023,Core,Abs,4,10,bodyweight,
Incline Situps,9/11/2023,Core,Abs,4,10,35,
Back Raises,9/11/2023,Core,Lower Back,4,10,35,
Cable Twists,9/11/2023,Core,Abs,4,10,40,
Ab Crunches,9/11/2023,Core,Abs,4,10,185,
Back Pushes,9/11/2023,Core,Lower Back,4,10,11,nm
Dumbell Bench Press,9/16/2023,Push,Chest,4,12,45,
Dumbell Incline Bench Press,9/16/2023,Push,Chest,4,12,35,
Lat Raises,9/16/2023,Push,Shoulders,4,10,20,
Flys,9/16/2023,Push,Delts,4,8,20,
Shoulder press,9/16/2023,Push,Shoulders,4,10,25,
Tricep Kick backs,9/16/2023,Push,Triceps,4,10,15,
Tricep Push Downs,9/16/2023,Push,Triceps,4,10,15,
Bench press,9/19/2023,Push,Chest,3,6,155,
Dumbell Incline Bench Press,9/19/2023,Push,Chest,2,10,40,
Tricep Push Downs,9/19/2023,Push,Triceps,3,8,8,nm
Leg Raises,9/20/2023,Core,Abs,4,10,bodyweight,
Back Raises,9/20/2023,Core,Lower Back,4,10,35,
Incline Situps,9/20/2023,Core,Abs,4,10,35,
Cable TWists,9/20/2023,Core,Abs,4,10,80,
Back Pushes,9/20/2023,Core,Lower Back,4,10,11,nm
Ab Crunches,9/20/2023,Core,Abs,4,10,7,nm
Pull Ups,9/23/2023,Pull,Lats,4,10,bodyweight,
Dumbell Rows,9/23/2023,Pull,Lats,4,10,50,
Reverse Flys,9/23/2023,Pull,Delts,4,10,100,
Preacher Curls,9/23/2023,Pull,Biceps,4,10,80,
Squats,9/24/2023,Legs,Quads,4,4,225,
Hip Abductions,9/24/2023,Legs,Hip Abductors,4,10,15,
Skull Crushers,9/24/2023,Push,Triceps,4,6,40,
Close Grip bench press,9/24/2023,Push,Triceps,4,10,40,
Overhead Tricep Raises,9/24/2023,Push,Triceps,4,10,30,
Leg Curls,9/24/2023,Legs,Hamstrings,4,12,120,
Dips,9/24/2023,Push,Chest,4,10,bodyweight,
Leg Raises,9/24/2023,Core,Abs,4,10,bodyweight,
Pull Ups,9/27/2023,Pull,Lats,4,10,80,
Lateral Rows,9/27/2023,Pull,Lats,4,10,90,
Incline Hammerhead Curls,9/27/2023,Pull,Biceps,1,6,25,
Preacher Curls,9/27/2023,Pull,Biceps,4,10,80,
Incline Rows,9/27/2023,Pull,Lats,1,10,150,
Reverse Flys,9/27/2023,Pull,Delts,4,10,100,
Bench Press,9/28/2023,Push,Chest,4,4,165,
Lat Raises,9/28/2023,Push,Shoulders,4,6,17.5,
Dips,9/28/2023,Push,Chest,4,10,bodyweight,
decline Bench press,9/28/2023,Push,Chest,4,10,60,
Skull Crushers,9/28/2023,Push,Triceps,4,6,50,
Close Grip bench press,9/28/2023,Push,Triceps,4,10,40,
Flys,9/28/2023,Push,Delts,4,10,20,
Bench press,9/30/2023,Push,Chest,4,4,165,
Leg Raises,9/30/2023,Core,Abs,4,10,bodyweight,
Back Raises,9/30/2023,Core,Lower Back,4,10,35,
Incline Bench Press,9/30/2023,Push,Chest,4,8,125,
Incline Situps,9/30/2023,Core,Abs,4,10,35,
Cable Twists,9/30/2023,Core,Abs,4,10,40,
Back pushes,9/30/2023,Core,Lower Back,4,10,225,
Ab Crunches,9/30/2023,Core,Abs,4,10,205,
Squats,10/1/2023,Legs,Quads,4,6,225,
Hip Abductions,10/1/2023,Legs,Hip Abductors,4,10,11,nm
Reverse Hip Abductions,10/1/2023,Legs,Hip Abductors,4,10,10,nm
Leg Curls,10/1/2023,Legs,Hamstrings,4,10,7,
Leg Extensions,10/1/2023,Legs,Quads,4,10,60,
Calf Raises,10/1/2023,Legs,Calfs,4,15,75,
Pull Ups,10/18/2023,Pull,Lats,4,10,bodyweight,
Dumbell Rows,10/18/2023,Pull,Lats,4,10,50,
Preacher Curls,10/18/2023,Pull,Biceps,3,10,65,
Underhand Rows,10/18/2023,Pull,Lats,4,10,85,
Lateral Rows,10/18/2023,Pull,Lats,4,10,85,
Bench press,10/20/2023,Push,Chest,4,6,155,
Incline Bench press,10/20/2023,Push,Chest,4,6,115,
Skull Crushers,10/20/2023,Push,Triceps,4,8,40,
Close Grip bench press,10/20/2023,Push,Triceps,4,15,40,
Lat Raises,10/20/2023,Push,Shoulders,4,10,65,
Flys,10/20/2023,Push,Delts,4,10,85,
Overhead Tricep Raises,10/20/2023,Push,Triceps,4,8,17.5,
Dips,10/20/2023,Push,Chest,4,10,bodyweight,
Leg raises,10/22/2023,Core,Abs,4,10,bodyweight,
Back Raises,10/22/2023,Core,Lower Back,4,10,35,
Incline Situps,10/22/2023,Core,Abs,4,10,35,
Cable Twists,10/22/2023,Core,Abs,4,10,80,
Back Pushes,10/22/2023,Core,Lower Back,4,10,12,nm
Ab Crunches,10/22/2023,Core,Abs,4,10,205,
Shoulder Shrugs,10/22/2023,Pull,Delts,4,12,45,
Reverse Grip Curls,10/22/2023,Pull,Forearms,4,10,40,
Wrist Curls,10/22/2023,Pull,Forearms,3,10,70,
Squats,10/23/2023,Legs,Quads,4,5,225,
Hip Abductions,10/23/2023,Legs,Hip Abductors,4,10,190,
Reverse Hip Abductions,10/23/2023,Legs,Hip Abductors,4,10,200,
Leg Extensions,10/23/2023,Legs,Quads,4,10,55,
Leg Curls,10/23/2023,Legs,Hamstrings,4,10,115,
Bench press,10/24/2023,Push,Chest,4,6,155,
Tricep Push Downs,10/24/2023,Push,Triceps,4,10,27.5,
Flys,10/24/2023,Push,Delts,3,10,100,
Dumbell Shoulder Press,10/31/2023,Push,Shoulders,3,8,50,
Reverse Grip Curls,10/31/2023,Pull,Forearms,4,10,40,
Wrist Curls,10/31/2023,Pull,Forearms,3,12,70,
Shoulder Shrugs,10/31/2023,Pull,Delts,3,12,45,
Dumbell Lat Raises,10/31/2023,Push,#N/A,1,8,20,
Front Lat Raises,10/31/2023,Push,Shoulders,2,10,15,
Bench press,11/1/2023,Push,Chest,4,4,155,
Incline Bench press,11/1/2023,Push,Chest,3,6,135,
Tricep Push Downs,11/1/2023,Push,Triceps,4,10,27.5,
Skull Crushers,11/1/2023,Push,Triceps,3,10,40,
Close Grip bench press,11/1/2023,Push,Triceps,3,12,40,
Dips,11/1/2023,Push,Chest,4,8,bodyweight,
Pull Ups,11/4/2023,Pull,Lats,4,4,bodyweight,
Dumbell Rows,11/4/2023,Pull,Lats,4,12,50,
Lateral Rows,11/4/2023,Pull,Lats,4,10,37.5,
Incline Supinated Curls,11/4/2023,Pull,Biceps,4,10,25,
Hammerhead Curls,11/4/2023,Pull,Biceps,4,8,25,
Squats,11/6/2023,Legs,Quads,4,6,225,
Hip Abductions,11/6/2023,Legs,Hip Abductors,3,10,200,
Leg Curls,11/6/2023,Legs,Hamstrings,3,10,115,
Calf Raises,11/6/2023,Legs,Calfs,1,15,170,
Leg Extensions,11/6/2023,Legs,Quads,3,10,55,
Dumbell Shoulder Press,11/9/2023,Push,Shoulders,4,8,50,
Reverse Grip Curls,11/9/2023,Pull,Forearms,4,10,50,
Dumbell Lat Raises,11/9/2023,Push,#N/A,3,8,20,
Front Lat Raises,11/9/2023,Push,Shoulders,3,8,17,
Wrist Curls,11/9/2023,Pull,Forearms,3,10,80,
Pull Ups,11/14/2023,Pull,Lats,4,8,bodyweight,
Dumbell Rows,11/14/2023,Pull,Lats,3,10,50,
Long Head Curls,11/14/2023,Pull,Biceps,3,8,20,
Hammerhead Curls,11/14/2023,Pull,Biceps,3,8,25,
Bench press,11/16/2023,Push,Chest,4,6,155,
Incline Bench press,11/16/2023,Push,Chest,3,6,115,
Skull Crushers,11/16/2023,Push,Triceps,3,8,50,
Close Grip bench press,11/16/2023,Push,Triceps,3,10,50,
Flys,11/16/2023,Push,Delts,3,10,100,
Long Head Curls,11/22/2023,Pull,Biceps,4,10,25,
Close Grip bench press,11/22/2023,Push,Triceps,4,10,120,
Hammerhead Curls,11/22/2023,Pull,Biceps,3,10,30,
Skull Crushers,11/22/2023,Push,Triceps,3,10,65,
Pull Ups,11/25/2023,Pull,Lats,4,8,bodyweight,
Lateral Rows,11/25/2023,Pull,Lats,4,10,60,
Incline Supinated Curls,11/25/2023,Pull,Biceps,4,12,15,
Incline Cable Rows,11/25/2023,Pull,Lats,4,10,42.5,
Hammerhead Curls,11/25/2023,Pull,Biceps,4,8,15,
Bench press,11/26/2023,Push,Chest,4,6,135,
Flys,11/26/2023,Push,Delts,4,8,50,
Incline Bench press,11/26/2023,Push,Chest,4,6,105,
Tricep Katanas,11/26/2023,Push,Triceps,4,6,15,
Tricep Push Downs,11/26/2023,Push,Triceps,4,8,18.75,
Dumbell Shoulder Press,11/28/2023,Push,Shoulders,4,8,50,
Dumbell lat Raises,11/28/2023,Push,#N/A,3,10,17.5,
Front Lat Raises,11/28/2023,Push,Shoulders,3,10,17.5,
Shoulder Shrugs,11/28/2023,Pull,Delts,4,15,45,
Leg Raises,11/30/2023,Core,Abs,4,10,bodyweight,
Back Raises,11/30/2023,Core,Lower Back,4,10,35,
Incline Situps,11/30/2023,Core,Abs,4,10,35,
Oblique Crunches,11/30/2023,Core,Abs,3,18,35,
Reverse Grip Curls,11/30/2023,Pull,Forearms,3,10,40,
Wrist Curls,11/30/2023,Pull,Forearms,3,12,70,
Pull Ups,12/5/2023,Pull,Lats,4,10,bodyweight,
Incline Cable Rows,12/5/2023,Pull,Lats,1,10,32.5,
Dumbell Rows,12/5/2023,Pull,Lats,3,10,50,
Incline Supinated Curls,12/5/2023,Pull,Biceps,4,10,25,
Lateral Rows,12/5/2023,Pull,Lats,4,10,60,
Hammerhead Curls,12/5/2023,Pull,Biceps,4,10,25,
Dumbell Shoulder Press,12/6/2023,Push,Shoulders,4,8,50,
Dumbell Lat Raises,12/6/2023,Push,Shoulders,4,10,20,
Front Lat Raises,12/6/2023,Push,Shoulders,4,10,15,
Shoulder Shrugs,12/6/2023,Pull,Delts,4,15,50,
Leg Raises,12/7/2023,Core,Abs,4,10,bodyweight,
Back Raises,12/7/2023,Core,Lower Back,4,10,35,
Ab Crunches,12/7/2023,Core,Abs,4,10,35,
Oblique Crunches,12/7/2023,Core,Abs,4,15,15,
Bench Press,12/9/2023,Push,Chest,4,8,155,
Dumbell Incline Bench Press,12/9/2023,Push,Chest,4,8,45,
Skull Crushers,12/9/2023,Push,Triceps,3,10,50,
Close Grip bench press,12/9/2023,Push,Triceps,3,10,50,
Dumbell Flys,12/9/2023,Push,Delts,3,10,15,
Tricep Push Downs,12/9/2023,Push,Triceps,3,10,32.5,
Dips,12/9/2023,Push,Chest,3,10,115,
Leg Raises,12/12/2023,Core,Abs,4,10,bodyweight,
Back Raises,12/12/2023,Core,Lower Back,4,10,35,
Incline Situps,12/12/2023,Core,Abs,4,10,35,
Oblique Crunches,12/12/2023,Core,Abs,4,30,25,
Back Pushes,12/12/2023,Core,Lower Back,4,10,185,
Reverse Grip Curls,12/12/2023,Pull,Forearms,4,10,40,
Wrist Curls,12/12/2023,Pull,Forearms,4,10,90,
Pull Ups,12/13/2023,Pull,Lats,4,10,bodyweight,
Lateral Rows,12/13/2023,Pull,Lats,4,10,60,
Incline Supinated Curls,12/13/2023,Pull,Biceps,4,10,25,
Hammerhead Curls,12/13/2023,Pull,Biceps,4,8,30,
Incline Cable Rows,12/13/2023,Pull,Lats,4,10,32.5,
Dumbell Shoulder Press,12/17/2023,Push,Shoulders,4,10,40,
Dumbell Lat Raises,12/17/2023,Push,Shoulders,4,10,15,
Front Lat Raises,12/17/2023,Push,Shoulders,4,10,15,
Cable Reverse Flys,12/17/2023,Pull,Delts,4,10,15,
Shoulder Shrugs,12/17/2023,Pull,Delts,4,15,50,
Tricep Kick backs,12/19/2023,Push,Triceps,4,10,25,
Tricep Katanas,12/19/2023,Push,Triceps,4,10,15,
Close Grip bench press,12/19/2023,Push,Triceps,4,10,90,
Hammerhead Curls,12/19/2023,Pull,Biceps,4,10,30,
Preacher Curls,12/19/2023,Pull,Biceps,4,10,40,
Incline Supinated Curls,12/19/2023,Pull,Biceps,4,10,25,
Pull Ups,12/20/2023,Pull,Lats,4,10,bodyweight,
Dumbell bench Press,12/20/2023,Push,Chest,4,10,50,
Dumbell Rows,12/20/2023,Pull,Lats,4,10,50,
Dumbell Incline Bench Press,12/20/2023,Push,Chest,4,10,40,
Dumbell Flys,12/20/2023,Push,Delts,4,10,15,
Incline Cable Rows,12/20/2023,Pull,Lats,4,10,45,
Dumbell Shoulder Press,12/22/2023,Push,Shoulders,4,10,45,
Lat Raises,12/22/2023,Push,Shoulders,4,10,15,
Front Lat Raises,12/22/2023,Push,Shoulders,4,10,15,
Cable Reverse Flys,12/22/2023,Pull,Delts,4,10,15,
Shoulder Shrugs,12/22/2023,Pull,Delts,4,15,50,
Dumbell bench Press,12/24/2023,Push,Chest,4,8,60,
Dumbell Incline Bench Press,12/24/2023,Push,Chest,4,8,50,
Tricep Push Downs,12/24/2023,Push,Triceps,4,10,35,
Tricep Katanas,12/24/2023,Push,Triceps,4,10,15,
Overhead Tricep Raises,12/24/2023,Push,Triceps,1,10,15,
Cable Flys,12/24/2023,Push,Delts,4,10,20,
Close Grip bench press,12/24/2023,Push,Triceps,4,10,70,
Pull Ups,12/26/2023,Pull,Lats,4,10,bodyweight,
Dumbell Rows,12/26/2023,Pull,Lats,4,10,50,
Preacher Curls,12/26/2023,Pull,Biceps,4,10,40,
Hammerhead Curls,12/26/2023,Pull,Biceps,4,10,30,
Incline Cable Rows,12/26/2023,Pull,Lats,4,10,45,
Incline Supinated Curls,12/26/2023,Pull,Biceps,4,10,25,
Tricep Push Downs,12/27/2023,Push,Triceps,4,10,40,
Preacher Curls,12/27/2023,Pull,Biceps,4,10,45,
Hammerhead Curls,12/27/2023,Pull,Biceps,4,8,35,
Overhead Tricep Raises,12/27/2023,Push,Triceps,4,10,35,
Incline Supinated Curls,12/27/2023,Pull,Biceps,4,10,25,
Close Grip bench press,12/27/2023,Push,Triceps,4,10,80,
